City,Day,Hour,AQI,Temp
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
Pune,16,15,46,28
